'meng'deng'hua 梦灯花
'xiang'lan'he 香兰河
'wu'ye'gong 无夜宫
'feng'ye'ting 逢夜亭
'da'shu'ku 大书库
'hui'an'zhi'di 晦暗之地
'di'xia'shui'lu'wang 地下水路网
'di'xia'shui'lu 地下水路
'di'xia'shui'lu'xi'tong 地下水路系统
'shi'xing'shi 逝星石
'shui'meng'bing 睡梦病
'tai'yang'yue'liang'deng 太阳月亮灯
'shuo'cao'ye'cao'ye'dao 说曹夜曹夜到
'qiu'ji 球蓟
'jin'bei'hua 锦被花
'yi'lan'dou 依兰豆
'you'ye 游夜
'ge'shi 隔世
'feng'san'tai 风散苔
'qian'nian'bu'geng'shi'shi'you'yin 千年不更，事事有因。
'chi'deng 炽灯
'chi'deng'jian'ye 炽灯见夜
'jian'ye 见夜
'meng'deng 梦灯
'meng'deng'ci'ye 梦灯此夜
'ci'ye 此夜
'liu'ming 流明
'meng'deng'bi'ye 梦灯彼夜
'bi'ye 彼夜
'qian'you'yuan'zhe'dui'zhang 前游园者队长
'yong'ling'hua 永龄花
'meng'duan'gao'lou'yue'man'ting 梦断高楼，月满庭。
'deng'hua'luo'jin'shu'liu'ying 灯花落尽，数流萤。
'bi'shi'ci'xi'xiang'si'chu 彼时此夕，相思处。
'cai'deng 彩灯
'cai'deng'xuan'ye 彩灯绚夜
'xuan'ye 绚夜
'jie'cai 结彩
'wu'ming'hua 无名花
'jiao'lan'dai'fang'yi'miao'yu'jia 娇兰待放，意妙语佳。
'ci'hua'luo'qu'yu'lu'cheng'hen 此花落去，雨露成痕。
'wan'shi'fu'chen'dou'fu'xian'shen 万事浮沉，都付闲身。
'xiao'deng 小灯
'xiao'deng'liu'ye 小灯流夜
'liu'ye 流夜
'wei'zhan 微盏
'lan'hua'xiao'ju 蓝花小菊
'xi'lou'jian'bing'qiao'zhi'qing'ying 细镂坚冰，巧制轻盈。
'qing'he'mu'ru'yu'gu'ren'qi 清和暮，如与故人期。
'ye'jiu'he'ren'gong'yu'ling 夜久何人，共与龄。
'zhang'deng 长灯
'zhang'deng'man'ye 长灯漫夜
'man'ye 漫夜
'du'guang 渎光
'you'lan 幽兰
'yu'gu'bing'ji'qing'han'nan'jin 玉骨冰肌，轻寒难禁。
'bing'po'xue'hun'liu'li'jing'xi 冰魄雪魂，琉璃净洗。
'zhang'deng'yao'ye 长灯耀夜
'yao'ye 耀夜
'qian'guang 虔光
'liu'jiao'bing'lian 六角冰莲
'ren'qing'hao'yue'lang'feng'qing 人情好，月朗风清。
'huan'deng 幻灯
'huan'deng'zui'ye 幻灯醉夜
'zui'ye 醉夜
'ru'zhou 如昼
'yong'xu'cao 咏絮草
'luo'hua'kan'jin'wang'shi'you'you 落花看尽，往事悠悠。
'jing'deng 晶灯
'jing'deng'mi'ye 晶灯迷夜
'mi'ye 迷夜
'liao'luan 缭乱
'wu'hai'fu'rong 雾海芙蓉
'hua'kai'bian'zhi'ying'you'yuan 花开遍，只影游园。
'mei'deng 美灯
'mei'deng'feng'ye 美灯逢夜
'feng'ye 逢夜
'hua'shan 画扇
'da'hua'hong'qiang'wei 大花红蔷薇
'fan'guang'ye'fang'ru'cai'fen'ming 繁光夜放，缛彩分明。
'ni'deng 霓灯
'ni'deng'ran'ye 霓灯染夜
'ran'ye 染夜
'huan'zhi'chang'pian'qi'shi 幻之唱片骑师
'xin'shi'dai'yin'yue'ren 新时代音乐人
'yi'cai 溢彩
'jie'yan 结胭
'ni'hong'qian'zhang'fei'ru'peng'lai 霓虹千丈，飞入蓬莱。
'kong'deng 空灯
'kong'deng'shan'ye 空灯闪夜
'shan'ye 闪夜
'yu'jiu'ta'de'you'deng'sheng 雨久塔的优等生
'hang'kong 行空
'tie'ji'hai'tang 铁戟海棠
'ye'fan'ying'ying'yi'dian'gu'guang 夜泛荧荧，一点孤光。
'xin'deng 心灯
'xin'deng'shou'ye 心灯守夜
'shou'ye 守夜
'beng'xin 崩心
'mu'ning'hua 目凝花
'yun'xiao'yu'ji'cai'che'fen'qu'ming 云销雨霁，彩彻分区明。
'hua'kai'jiu'qiu'lu'wang'yun'juan'shu 花开九秋露，望云卷舒。
'jing'deng 静灯
'jing'deng'wang'ye 静灯望夜
'wang'ye 望夜
'ming'mie 明灭
'shui'xiang 水香
'xin'meng'jiao'tian'guang'shi'shui 新梦觉，天光似水。
'hua'deng 华灯
'hua'deng'ying'ye 华灯映夜
'ying'ye 映夜
'chu'shang 初上
'jin'ye'hong 今夜红
'ge'jing'xiang'kan'jiu'ting'hua 隔镜相看，旧庭花。
'ji'deng 疾灯
'ji'deng'zhan'ye 疾灯斩夜
'zhan'ye 斩夜
'xing'wen 星吻
'xing'deng 星灯
'xing'deng'yuan'ye 星灯愿夜
'yuan'ye 愿夜
'xing'wen'de'zhu'chang 星吻的主唱
'qian'xing'wen'de'zhu'chang 前星吻的主唱
'xing'yun 星陨
'ming'lv'hua 明缕花
'nian'can'hua'rou'chang'qian'jie 捻残花，柔肠千结。
'xing'deng'qi'ye 星灯祈夜
'qi'ye 祈夜
'xing'liu 星流
'xing'wen'de'bei'si'shou 星吻的贝斯手
'qian'xing'wen'de'bei'si'shou 前星吻的贝斯手
'xing'deng'zhui'ye 星灯缀夜
'zhui'ye 缀夜
'xing'wen'de'jian'pan'shou 星吻的键盘手
'qian'xing'wen'de'jian'pan'shou 前星吻的键盘手
'gong'yi 宫移
'sui'deng 岁灯
'sui'deng'xuan'ye 岁灯悬夜
'xuan'ye 悬夜
'xing'wen'de'gu'shou 星吻的鼓手
'qian'xing'wen'de'gu'shou 前星吻的鼓手
'zhong'yin 重音
'ying'deng 萤灯
'ying'deng'lian'ye 萤灯恋夜
'lian'ye 恋夜
'xing'wen'de'ke'zuo'xiao'ti'qin'shou 星吻的客座小提琴手
'ke'zuo'xiao'ti'qin'shou 客座小提琴手
'jue'xian 绝弦
'cang'wei 苍薇
'ying'huo'liu'guang'cang'wu'ye'yu 萤火流光，苍梧夜雨。
'hua'deng 花灯
'hua'deng'yi'sheng 花灯医生
'hua'deng'zhan'ye 花灯绽夜
'zhan'ye 绽夜
'rong'hua 荣华
'hua'huo 花火
'xi'yin'hua 细银花
'hen'xiang'feng'meng'yuan'gui'bu'cheng 恨相逢，梦远归不成。
'meng'li'feng'jun'duan'hun'nan'xu 梦里逢君，断魂难续。
'hui'mie'zhi'yan 毁灭之焰
'wan'deng 晚灯
'wan'deng'zhao'ye 晚灯照夜
'zhao'ye 照夜
'wan'ge 晚歌
'wang'you'cao 忘忧草
'xiao'ri'ling'long'hua'lai'wu'ding 晓日玲珑，花来无定。
'deng'huo'zhao'ye'yue'qu'he'chang 灯火照夜，月去何常。
'chu'deng 初灯
'chu'deng'xi'ye 初灯熙夜
'xi'ye 熙夜
'wu'ming 无名
'kuan'xiao'mei 款宵梅
'si'si'can'zhao'cun'cun'wei'yun 丝丝残照，寸寸微云。
'qing'deng 晴灯
'qing'deng'wu'ye 晴灯无夜
'wu'ye 无夜
'zui'wei'da'de'xian'zhe 最伟大的贤者
'zhu'ta'de'tai'yang 主塔的太阳
'shen'zhi'zi 神之子
'guang'zhi'ren 光之人
'ri'ye'de'shou'hu'zhe 日夜的守护者
'cang'qiong 苍穹
'wang'deng 亡灯
'wang'deng'you'ye 亡灯诱夜
'you'ye 诱夜
'gui'e 归蛾
'fan'hun'cao 返魂草
'shang'xin'dian'di'yu'jin'li'hua 伤心点滴雨，浸梨花。
'chen'shi'shi'jing'li'fei'e 尘世事，镜里飞蛾。
'yue'deng 月灯
'yue'deng'hui'ye 月灯辉夜
'hui'ye 辉夜
'guang'han 广寒
'bai'yu 白玉
'yuan'ji'hua 远迹花
'leng'wu'ming'ming'ji'duo'xi'feng 冷雾溟溟，几多西风。
'shu'qing'hua 疏情花
'yin'si'jiao'jiao'xing'hai'tiao'tiao 银丝皎皎，星海迢迢。
'ying'deng 影灯
'ying'deng'shi'ye 影灯蚀夜
'shi'ye 蚀夜
'liu'ying 留影
'ming'tu'hua 溟途花
'gu'ying'he'chu'ying'yi'suo'xin'lv 孤影何处，映一蓑新绿。
'deng'ling 灯灵
'hong'cha'pai 红茶派
'ji'lu'zhe 记录者915101004
